,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FAURE-MUNTIAN Valéria,0.0,16188.0,14772.0,18348.0,22440.0,12481.0,25992.0,14866.0,0.0,0.0,0.0
FAURE Olivier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAUVERGUE Jean-Michel,0.0,91911.0,85513.0,94249.0,96911.0,106362.0,101145.0,47796.0,0.0,0.0,0.0
FAVENNEC BECOT Yannick,0.0,0.0,0.0,0.0,0.0,26107.0,27800.0,15769.0,0.0,0.0,0.0
FERRAND Richard,0.0,0.0,72371.0,106782.0,104014.0,102000.0,107038.0,35746.0,0.0,0.0,0.0
FERRARA Jean-Jacques,0.0,0.0,78009.0,80769.0,74133.0,117993.0,125509.0,27093.0,0.0,0.0,0.0
FIAT Caroline,0.0,0.0,12792.0,12342.0,10822.0,10986.0,6637.0,2400.0,0.0,0.0,0.0
FIÉVET Jean-Marie,0.0,40534.0,41465.0,41901.0,41989.0,43887.0,43392.0,22199.0,0.0,0.0,0.0
FIRMIN LE BODO Agnès,0.0,0.0,274044.0,207381.0,240387.0,228844.0,228860.0,107000.0,0.0,0.0,0.0
FLORENNES Isabelle,0.0,58245.0,59023.0,59791.0,60549.0,61299.0,62327.0,32412.0,0.0,0.0,0.0
FOLLIOT Philippe,0.0,0.0,0.0,0.0,8760.0,26876.0,31454.0,11504.0,0.0,0.0,0.0
FONTAINE-DOMEIZEL Emmanuelle,0.0,0.0,32984.0,25707.0,37202.0,46974.0,50662.0,9555.0,0.0,0.0,0.0
FONTENEL-PERSONNE Pascale,0.0,0.0,0.0,0.0,2400.0,20400.0,21949.0,0.0,0.0,0.0,0.0
FORISSIER Nicolas,0.0,0.0,22530.0,77976.0,35425.0,57190.0,90232.0,63335.0,0.0,0.0,0.0
FORTEZA Paula,0.0,0.0,3670.0,5259.0,5912.0,6500.0,29400.0,17650.0,0.0,0.0,0.0
FRESCHI Alexandre,0.0,16080.0,16080.0,16080.0,24040.0,17860.0,19760.0,20360.0,0.0,0.0,0.0
FUCHS Bruno,0.0,394100.0,226603.0,100941.0,76175.0,38296.0,28500.0,24000.0,0.0,0.0,0.0
FUGIT Jean-Luc,0.0,46816.0,47384.0,51697.0,50606.0,48138.0,51499.0,36500.0,0.0,0.0,0.0
